,base,quote,k
0,AFN,EUR,0.01053
1,EUR,EUR,1
2,ALL,EUR,0.00863
3,DZD,EUR,0.00677
4,USD,EUR,0.92346
5,EUR,EUR,1
6,AOA,EUR,0.00183
7,XCD,EUR,0.00183
8,,EUR,0.5159
9,XCD,EUR,0.34202
10,ARS,EUR,0.00446
11,AMD,EUR,0.00227
12,AWG,EUR,0.51018
13,AUD,EUR,0.6178
14,EUR,EUR,1
15,AZN,EUR,0.54321
16,BSD,EUR,0.92346
17,BHD,EUR,2.43352
18,BDT,EUR,0.00859
19,BBD,EUR,0.46173
20,BYN,EUR,0.3654
21,EUR,EUR,1
22,BZD,EUR,0.44901
23,XOF,EUR,0.00152
24,BMD,EUR,0.92346
25,INR,EUR,0.01123
26,BTN,EUR,0.01123
27,BOB,EUR,0.13026
28,BOV,EUR,0.13026
29,USD,EUR,0.92346
30,BAM,EUR,0.51129
31,BWP,EUR,0.06923
32,NOK,EUR,0.08872
33,BRL,EUR,0.17758
34,USD,EUR,0.92346
35,BND,EUR,0.69522
36,BGN,EUR,0.51129
37,XOF,EUR,0.00152
38,BIF,EUR,0.00044
39,CVE,EUR,0.00907
40,KHR,EUR,0.00022
41,XAF,EUR,0.00152
42,CAD,EUR,0.67727
43,KYD,EUR,1.10815
44,XAF,EUR,0.00152
45,XAF,EUR,0.00152
46,CLP,EUR,0.00115
47,CLF,EUR,0.00115
48,CNY,EUR,0.1343
49,AUD,EUR,0.6178
50,AUD,EUR,0.24591
51,COP,EUR,0.0002
52,COU,EUR,0.0002
53,KMF,EUR,0.00203
54,CDF,EUR,0.00045
55,XAF,EUR,0.00152
56,NZD,EUR,0.57573
57,CRC,EUR,0.00167
58,XOF,EUR,0.00152
59,HRK,EUR,0.13272
60,CUP,EUR,0.03694
61,CUC,EUR,0.92346
62,ANG,EUR,0.5159
63,EUR,EUR,1
64,CZK,EUR,0.04217
65,DKK,EUR,0.1342
66,DJF,EUR,0.0052
67,XCD,EUR,0.34202
68,DOP,EUR,0.01673
69,USD,EUR,0.92346
70,EGP,EUR,0.02986
71,SVC,EUR,0.10554
72,USD,EUR,0.92346
73,XAF,EUR,0.00152
74,ERN,EUR,1.13788
75,EUR,EUR,1
76,SZL,EUR,0.05069
77,ETB,EUR,0.0171
78,EUR,EUR,1
79,FKP,EUR,1.13788
80,DKK,EUR,0.1342
81,FJD,EUR,0.41484
82,EUR,EUR,1
83,EUR,EUR,0.20178
84,EUR,EUR,1
85,XPF,EUR,0.00838
86,EUR,EUR,1
87,XAF,EUR,0.00152
88,GMD,EUR,0.01491
89,GEL,EUR,0.3535
90,EUR,EUR,1
91,GHS,EUR,0.0758
92,GIP,EUR,1.13788
93,EUR,EUR,1
94,DKK,EUR,0.1342
95,XCD,EUR,0.34202
96,EUR,EUR,1
97,USD,EUR,0.92346
98,GTQ,EUR,0.11576
99,GBP,EUR,1.13788
100,GNF,EUR,0.00011
101,XOF,EUR,0.00152
102,GYD,EUR,0.0042
103,HTG,EUR,0.00593
104,USD,EUR,0.92346
105,AUD,EUR,0.6178
106,EUR,EUR,1
107,HNL,EUR,0.03707
108,HKD,EUR,0.11782
109,HUF,EUR,0.00261
110,ISK,EUR,0.00669
111,INR,EUR,0.01123
112,IDR,EUR,0.00006
113,XDR,EUR,0.00006
114,IRR,EUR,0.0171
115,IQD,EUR,0.00063
116,EUR,EUR,1
117,GBP,EUR,1.13788
118,ILS,EUR,0.25856
119,EUR,EUR,1
120,JMD,EUR,0.00605
121,JPY,EUR,0.00706
122,GBP,EUR,1.13788
123,JOD,EUR,1.30248
124,KZT,EUR,0.00202
125,KES,EUR,0.00698
126,AUD,EUR,0.6178
127,KPW,EUR,0.00684
128,KRW,EUR,0.00071
129,KWD,EUR,3.00821
130,KGS,EUR,0.01056
131,LAK,EUR,0.00005
132,EUR,EUR,1
133,LBP,EUR,0.00006
134,LSL,EUR,0.05069
135,ZAR,EUR,0.05069
136,LRD,EUR,0.00571
137,LYD,EUR,0.19188
138,CHF,EUR,1.00629
139,EUR,EUR,1
140,EUR,EUR,0.20178
141,MOP,EUR,0.11439
142,MKD,EUR,0.01607
143,MGA,EUR,0.00021
144,MWK,EUR,0.00089
145,MYR,EUR,0.20914
146,MVR,EUR,0.05948
147,XOF,EUR,0.00152
148,EUR,EUR,1
149,USD,EUR,0.92346
150,EUR,EUR,1
151,MRU,EUR,0.02674
152,MUR,EUR,0.01958
153,EUR,EUR,1
154,XUA,EUR,1
155,MXN,EUR,0.05048
156,MXV,EUR,0.05048
157,USD,EUR,0.92346
158,MDL,EUR,0.04948
159,EUR,EUR,1
160,MNT,EUR,0.00035
161,EUR,EUR,1
162,XCD,EUR,0.34202
163,MAD,EUR,0.08928
164,MZN,EUR,0.01433
165,MMK,EUR,0.00044
166,NAD,EUR,0.34202
167,ZAR,EUR,0.05069
168,AUD,EUR,0.6178
169,NPR,EUR,0.00693
170,EUR,EUR,1
171,XPF,EUR,0.00838
172,NZD,EUR,0.57573
173,NIO,EUR,0.025
174,XOF,EUR,0.00152
175,NGN,EUR,0.002
176,NZD,EUR,0.57573
177,AUD,EUR,0.6178
178,USD,EUR,0.92346
179,NOK,EUR,0.08872
180,OMR,EUR,2.39147
181,PKR,EUR,0.00326
182,USD,EUR,0.92346
183,,EUR,0.5159
184,PAB,EUR,0.92346
185,USD,EUR,0.92346
186,PGK,EUR,0.25608
187,PYG,EUR,0.00013
188,PEN,EUR,0.24287
189,PHP,EUR,0.01699
190,NZD,EUR,0.57573
191,PLN,EUR,0.21353
192,EUR,EUR,1
193,USD,EUR,0.92346
194,QAR,EUR,0.25247
195,EUR,EUR,1
196,RON,EUR,0.1342
197,RUB,EUR,0.51018
198,RWF,EUR,0.00083
199,EUR,EUR,1
200,SHP,EUR,1.13788
201,XCD,EUR,0.34202
202,XCD,EUR,0.34202
203,EUR,EUR,1
204,EUR,EUR,0.20178
205,XCD,EUR,0.34202
206,WST,EUR,0.33103
207,EUR,EUR,0.20178
208,STN,EUR,0.03971
209,SAR,EUR,0.24591
210,XOF,EUR,0.00152
211,RSD,EUR,0.00849
212,SCR,EUR,0.06485
213,SLL,EUR,0.00005
214,SGD,EUR,0.69522
215,ANG,EUR,0.5159
216,XSU,EUR,0.5159
217,EUR,EUR,1
218,EUR,EUR,0.20178
219,SBD,EUR,0.11024
220,SOS,EUR,0.00161
221,ZAR,EUR,0.05069
222,,EUR,0.5159
223,SSP,EUR,0.5159
224,EUR,EUR,0.20178
225,LKR,EUR,0.00283
226,SDG,EUR,0.00155
227,SRD,EUR,0.02597
228,NOK,EUR,0.08872
229,SEK,EUR,0.08916
230,CHF,EUR,1.00629
231,CHE,EUR,0.1343
232,CHW,EUR,0.1343
233,SYP,EUR,0.0018
234,TWD,EUR,0.03042
235,TJS,EUR,0.08369
236,TZS,EUR,0.00039
237,THB,EUR,0.02692
238,USD,EUR,0.92346
239,XOF,EUR,0.00152
240,NZD,EUR,0.57573
241,TOP,EUR,0.38191
242,TTD,EUR,0.13337
243,TND,EUR,0.29504
244,TRY,EUR,0.04831
245,TMT,EUR,0.25265
246,USD,EUR,0.92346
247,AUD,EUR,0.6178
248,UGX,EUR,0.00024
249,UAH,EUR,0.02483
250,AED,EUR,0.25128
251,GBP,EUR,1.13788
252,USD,EUR,0.92346
253,USD,EUR,0.92346
254,USN,EUR,0.92346
255,UYU,EUR,0.02355
256,UYI,EUR,0.02355
257,UYW,EUR,0.02355
258,UZS,EUR,0.00008
259,VUV,EUR,0.00809
260,VES,EUR,0.03785
261,VND,EUR,0.00004
262,USD,EUR,0.92346
263,USD,EUR,0.92346
264,XPF,EUR,0.00838
265,MAD,EUR,0.08928
266,YER,EUR,0.00368
267,ZMW,EUR,0.04397
268,ZWL,EUR,0.00255
269,XBA,EUR,0.00255
270,XBB,EUR,0.00255
271,XBC,EUR,0.00255
272,XBD,EUR,0.00255
273,XTS,EUR,0.00255
274,XXX,EUR,0.00255
275,XAU,EUR,"1,813.13"
276,XPD,EUR,"1,315.61"
277,XPT,EUR,900.444
278,XAG,EUR,21.3535
279,AFA,EUR,0.01053
280,FIM,EUR,0.16819
281,ALK,EUR,1.13788
282,ADP,EUR,0.00601
283,ESP,EUR,0.00601
284,FRF,EUR,0.15245
285,AOK,EUR,0.15245
286,AON,EUR,0.00183
287,AOR,EUR,0.00183
288,ARA,EUR,0.25128
289,ARP,EUR,0.25128
290,ARY,EUR,0.00021
291,RUR,EUR,0.00021
292,ATS,EUR,0.07267
293,AYM,EUR,1.10815
294,AZM,EUR,0.04397
295,RUR,EUR,0.04397
296,BYB,EUR,0.04397
297,BYR,EUR,0.00004
298,RUR,EUR,0.00004
299,BEC,EUR,0.00004
300,BEF,EUR,0.02479
301,BEL,EUR,0.00004
302,BOP,EUR,0.00004
303,BAD,EUR,0.46173
304,BRB,EUR,0.46173
305,BRC,EUR,0.46173
306,BRE,EUR,0.46173
307,BRN,EUR,0.46173
308,BRR,EUR,0.46173
309,BGJ,EUR,0.46173
310,BGK,EUR,0.46173
311,BGL,EUR,0.51129
312,BUK,EUR,0.51129
313,HRD,EUR,0.51129
314,HRK,EUR,0.13272
315,CYP,EUR,1
316,CSJ,EUR,1
317,CSK,EUR,0.04217
318,ECS,EUR,0.00004
319,ECV,EUR,0.00004
320,GQE,EUR,0.00004
321,EEK,EUR,0.06391
322,XEU,EUR,1
323,FIM,EUR,0.16819
324,FRF,EUR,0.15245
325,FRF,EUR,0.15245
326,FRF,EUR,0.15245
327,GEK,EUR,0.00202
328,RUR,EUR,0.00202
329,DDM,EUR,0.00202
330,DEM,EUR,0.51129
331,GHC,EUR,0.00001
332,GHP,EUR,0.00001
333,GRD,EUR,0.00293
334,FRF,EUR,0.15245
335,GNE,EUR,0.15245
336,GNS,EUR,0.15245
337,GWE,EUR,0.15245
338,GWP,EUR,0.15245
339,ITL,EUR,0.00052
340,ISJ,EUR,0.00052
341,IEP,EUR,1.26974
342,ILP,EUR,1.26974
343,ILR,EUR,1.26974
344,ITL,EUR,0.00052
345,RUR,EUR,0.00052
346,RUR,EUR,0.00052
347,LAJ,EUR,0.00052
348,LVL,EUR,1.42287
349,LVR,EUR,1.42287
350,LSM,EUR,1.42287
351,ZAL,EUR,0.11576
352,LTL,EUR,0.28962
353,LTT,EUR,0.28962
354,LUC,EUR,0.34202
355,LUF,EUR,0.02479
356,LUL,EUR,0.02479
357,MGF,EUR,0.0001
358,MWK,EUR,0.00089
359,MVQ,EUR,0.00089
360,MLF,EUR,0.00089
361,MTL,EUR,2.32937
362,MTP,EUR,2.32937
363,FRF,EUR,0.15245
364,MRO,EUR,0.00267
365,FRF,EUR,0.15245
366,MXP,EUR,0.05048
367,RUR,EUR,0.05048
368,FRF,EUR,0.15245
369,MZE,EUR,0.15245
370,MZM,EUR,0.00001
371,NLG,EUR,0.45378
372,ANG,EUR,0.5159
373,NIC,EUR,0.01673
374,PEH,EUR,0.01673
375,PEI,EUR,0.01673
376,PEN,EUR,0.24287
377,PES,EUR,0.01673
378,PLZ,EUR,0.21353
379,PTE,EUR,0.00499
380,FRF,EUR,0.15245
381,ROK,EUR,0.15245
382,ROL,EUR,0.00002
383,RON,EUR,0.1342
384,RUR,EUR,0.1342
385,FRF,EUR,0.15245
386,FRF,EUR,0.15245
387,FRF,EUR,0.15245
388,ITL,EUR,0.00052
389,STD,EUR,0.00004
390,CSD,EUR,0.00849
391,EUR,EUR,1
392,SKK,EUR,0.03319
393,SIT,EUR,0.00417
394,ZAL,EUR,0.11576
395,SDG,EUR,0.00155
396,RHD,EUR,0.00155
397,ESA,EUR,0.00155
398,ESB,EUR,0.00155
399,ESP,EUR,0.00601
400,SDD,EUR,0.00002
401,SDP,EUR,0.00041
402,SRG,EUR,0.00003
403,SZL,EUR,0.05069
404,CHC,EUR,0.05069
405,RUR,EUR,0.05069
406,TJR,EUR,0.05069
407,IDR,EUR,0.00006
408,TPE,EUR,0.00006
409,TRL,EUR,0
